code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.matrix_px_per_mm
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.max_abs_px
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.offset_px
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.rank
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.residuals_px
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_field	type:field:TCT_app/analysis/camera_calibration.py#AffineFit.rms_px
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.image_to_object
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.max_abs_um
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.mean_px_per_mm
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.mean_um_per_px
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.predict
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.px_per_mm_x
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.px_per_mm_y
code:class:TCT_app/analysis/camera_calibration.py#AffineFit	has_method	code:func:TCT_app/analysis/camera_calibration.py#AffineFit.rms_um
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_field	type:field:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.affine
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_field	type:field:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.distortion
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_field	type:field:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.max_abs_px
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_field	type:field:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.residuals_px
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_field	type:field:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.rms_px
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.image_to_object
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.max_abs_um
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.mean_px_per_mm
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.mean_um_per_px
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.predict
code:class:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration	has_method	code:func:TCT_app/analysis/camera_calibration.py#ObjectPlaneCalibration.rms_um
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_field	type:field:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.center_px
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_field	type:field:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.coeffs_px
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_field	type:field:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.degree
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_field	type:field:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.powers
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_field	type:field:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.scale_px
code:class:TCT_app/analysis/camera_calibration.py#PolynomialDistortion	has_method	code:func:TCT_app/analysis/camera_calibration.py#PolynomialDistortion.evaluate
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.amp_gain
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.calibrated_at
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.diode_thickness_um
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.k_factor
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.method
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.output_units
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.q_ref_raw_pC
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.termination_ohm
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_field	type:field:TCT_app/analysis/charge_calibration.py#ChargeCalibration.transimpedance_ohm
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_method	code:func:TCT_app/analysis/charge_calibration.py#ChargeCalibration.apply
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_method	code:func:TCT_app/analysis/charge_calibration.py#ChargeCalibration.compute_reference
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_method	code:func:TCT_app/analysis/charge_calibration.py#ChargeCalibration.from_config
code:class:TCT_app/analysis/charge_calibration.py#ChargeCalibration	has_method	code:func:TCT_app/analysis/charge_calibration.py#ChargeCalibration.to_config
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.cce
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.charge_sigma_pC
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.n_ref
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.notes
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.q_term_included
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.ref_mean
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.ref_std
code:class:TCT_app/analysis/efield_analysis.py#CCEResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#CCEResult.sigma
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.ambiguous
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.bracket
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.method
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.monotonic
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.n_crossings
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.n_points
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.notes
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.quality
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.threshold_frac
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.v_dep
code:class:TCT_app/analysis/efield_analysis.py#DepletionFitResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#DepletionFitResult.v_dep_sigma
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.E_V_cm
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.carrier
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.drift_time_ns
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.mobility_cm2_Vs
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.sensor_thickness_mm
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.v_drift_cm_s
code:class:TCT_app/analysis/efield_analysis.py#EfieldResult	has_field	type:field:TCT_app/analysis/efield_analysis.py#EfieldResult.z_mm
